,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,3+ BEDS,4 BEDS,5 BEDS
65,Merriwood Apartments,https://www.rentcafe.com/apartments/nc/cary/merriwood-apartments/default.aspx,"903 Kensington Drive,",Cary,NC,5.00,27511,"$1,175","$1,325","$1,525","$1,273+","$2,200+","$1,125","$2,645","$2,695"
66,671 West King St,https://www.rentcafe.com/apartments/nc/boone/671-west-king-st/default.aspx,"671 West King St,",Boone,NC,5.00,28607,"$1,175",Ask for pricing,"$1,525",$700,"$2,200+","$1,125","$2,645","$2,695"
67,Nu Wesley Apartments,https://www.rentcafe.com/apartments/nc/charlotte/nu-wesley/default.aspx,"Mcquay Street,",Charlotte,NC,5.00,28208,Ask for pricing,"$1,150","$1,525",$700,"$2,200+","$1,125","$2,645","$2,695"
68,Hawthorne At Holly Springs,https://www.rentcafe.com/apartments/nc/holly-springs/hawthorne-at-holly-springs/default.aspx,"6000 Forest Village Drive,",Holly Springs,NC,5.00,27540,"$1,450+","$1,650+","$2,040+",$700,"$2,200+","$1,125","$2,645","$2,695"
69,306 McCauley,https://www.rentcafe.com/apartments/nc/chapel-hill/306-mccauley/default.aspx,"306 Mccauley,",Chapel Hill,NC,5.00,27516,"$1,450+","$1,650+","$2,040+",$700,"$2,200+","$1,125","$2,645","$2,695"
70,The Providence At Brier Creek,https://www.rentcafe.com/apartments/nc/raleigh/the-providence-at-brier-creek/default.aspx,"10100 Donerail Way,",Raleigh,NC,5.00,27617,"$1,293+","$1,793+",Ask for pricing,$700,"$2,200+","$1,125","$2,645","$2,695"
71,The Cove At Matthews,https://www.rentcafe.com/apartments/nc/matthews/the-cove-at-matthews/default.aspx,"1701 Gander Cove Lane,",Matthews,NC,5.00,28105,"$1,293+","$1,793+",Ask for pricing,$700,"$2,200+","$1,125","$2,645","$2,695"
72,MAA Reserve,https://www.rentcafe.com/apartments/nc/charlotte/maa-reserve/default.aspx,"2720 South Boulevard,",Charlotte,NC,5.00,28209,"$1,613+","$2,533+",Ask for pricing,"$1,488+","$2,200+","$1,125","$2,645","$2,695"
73,MAA Ballantyne,https://www.rentcafe.com/apartments/nc/charlotte/maa-ballantyne/default.aspx,"14205 Ballantyne Lake Road,",Charlotte,NC,5.00,28277,"$1,570+","$2,270+",Ask for pricing,"$1,488+","$2,200+","$3,020+","$2,645","$2,695"
74,1275 Mount Moriah Church Road,https://www.rentcafe.com/apartments/nc/china-grove/1275-mount-moriah-church-road/default.aspx,"1275 Mount Moriah Church Road,",China Grove,NC,5.00,28023,"$1,570+","$1,450",Ask for pricing,"$1,488+","$2,200+","$3,020+","$2,645","$2,695"
75,"Robinson Rentals & Renovations, LLC",https://www.rentcafe.com/apartments/nc/burlington/robinson-rentals-renovations-llc/default.aspx,"852 S. Main St.,",Burlington,NC,5.00,27215,Ask for pricing,$775,Ask for pricing,Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
76,517 Kenway Street,https://www.rentcafe.com/apartments/nc/garner/517-kenway-street-0/default.aspx,"517 Kenway Street,",Garner,NC,5.00,27529,Ask for pricing,$775,"$1,700",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
77,Highgate Townhomes,https://www.rentcafe.com/apartments/nc/durham/highgate-townhomes/default.aspx,"100 Highgate Drive,",Durham,NC,5.00,27713,Ask for pricing,$775,"$1,700",Ask for pricing,"$2,200+","$3,020+","$2,645","$2,695"
