,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,Studio,2+ BEDS,4 BEDS,3+ BEDS
71,Arlo,https://www.rentcafe.com/apartments/nc/charlotte/arlo1/default.aspx,"1331 W Morehead St,",Charlotte,NC,4.00,28208,"$1,523+","$2,371+",Ask for pricing,$950,"$1,115","$3,200",Ask for pricing
72,Lofts At Lakeview Apartments,https://www.rentcafe.com/apartments/nc/durham/lofts-at-lakeview-apartments/default.aspx,"2616 Erwin Rd,",Durham,NC,4.00,27705,"$1,593+","$2,083+",Ask for pricing,"$1,814+","$1,115","$3,200",Ask for pricing
73,Lory Of Hillsborough,https://www.rentcafe.com/apartments/nc/hillsborough/lory-of-hillsborough/default.aspx,"600 S. Churton Street,",Hillsborough,NC,4.00,27278,"$1,110+","$1,205+","$1,365+","$1,814+","$1,115","$3,200",Ask for pricing
74,The Village Apartments,https://www.rentcafe.com/apartments/nc/raleigh/the-village-apartments-1/default.aspx,"8810 Autumn Winds Drive,",Raleigh,NC,4.00,27615,"$1,290+","$1,560+","$2,085+","$1,814+","$1,115","$3,200",Ask for pricing
75,Villages At Raleigh Beach,https://www.rentcafe.com/apartments/nc/raleigh/villages-at-raleigh-beach0/default.aspx,"2015 Wave Crest Drive,",Raleigh,NC,4.00,27610,"$1,524+","$1,720+","$1,976+","$1,814+","$1,115","$3,200",Ask for pricing
76,Link Apartments® Mint Street,https://www.rentcafe.com/apartments/nc/charlotte/link-apartments-174-mint-street/default.aspx,"1200 S. Mint Street,",Charlotte,NC,4.00,28203,"$1,542+","$2,227+","$1,976+","$1,381+","$1,115","$3,200",Ask for pricing
77,Forest Hills,https://www.rentcafe.com/apartments/nc/wilmington/forest-hills3/default.aspx,"505 Alpine Dr,",Wilmington,NC,4.00,28403,Ask for pricing,"$1,175",Ask for pricing,"$1,381+","$1,115","$3,200",Ask for pricing
78,Elan City Center,https://www.rentcafe.com/apartments/nc/raleigh/elan-city-center/default.aspx,"510 N Wilmington Street,",Raleigh,NC,4.00,27604,"$1,765+","$2,086+",Ask for pricing,"$1,633+","$1,115","$3,200",Ask for pricing
79,Destination At Union,https://www.rentcafe.com/apartments/nc/gastonia/destination-at-union2/default.aspx,"1272 Union Road,",Gastonia,NC,4.00,28054,"$1,765+","$1,159+","$1,562+",$925+,"$1,115","$3,200",Ask for pricing
80,Western Villa Townhomes,https://www.rentcafe.com/apartments/nc/clemmons/western-villas/default.aspx,"132 Western Villa Drive,",Clemmons,NC,4.00,27012,"$1,765+","$1,200","$1,562+",$925+,"$1,115","$3,200",Ask for pricing
81,1213 W Friendly Ave,https://www.rentcafe.com/apartments/nc/greensboro/1213-w-friendly-ave/default.aspx,"1213 W Friendly Ave,",Greensboro,NC,4.00,27403,"$1,765+","$1,200","$1,562+",$925+,"$1,115","$3,200",Ask for pricing
82,MAA South Tryon,https://www.rentcafe.com/apartments/nc/charlotte/maa-south-tryon/default.aspx,"7601 Holliswood Court,",Charlotte,NC,4.00,28217,"$1,533+","$1,413+",Ask for pricing,$925+,"$1,115","$3,200",Ask for pricing
