,name,link,address,city,state,ratings,zipcode,1 BED,2 BEDS,3 BEDS,4 BEDS,Studio,2+ BEDS
87,Mosaic South End Apartments,https://www.rentcafe.com/apartments/nc/charlotte/mosaic-south-end/default.aspx,"1312 S. College Street,",Charlotte,NC,5.00,28203,"$1,629+","$1,653+","$1,999+","$1,999",Ask for pricing,"$2,601+"
88,Timber Creek,https://www.rentcafe.com/apartments/nc/charlotte/timber-creek-1/default.aspx,"1100 Falls Creek Ln,",Charlotte,NC,5.00,28209,"$1,326+","$1,378+","$1,999+","$1,999","$1,033+","$2,601+"
89,3316 Fincher Blvd,https://www.rentcafe.com/apartments/nc/charlotte/3316-fincher-blvd/default.aspx,"3316 Fincher Blvd,",Charlotte,NC,5.00,28269,"$1,326+","$1,378+","$1,999+","$2,149","$1,033+","$2,601+"
90,Briley,https://www.rentcafe.com/apartments/nc/matthews/briley-apartments/default.aspx,"10731 Surrey Green Lane,",Matthews,NC,5.00,28105,"$1,485+","$1,378+","$1,999+","$2,149","$1,560+","$1,960+"
91,Mountaineer Village,https://www.rentcafe.com/apartments/nc/boone/mountaineer-village/default.aspx,"517 Yosef Drive,",Boone,NC,5.00,28607,"$1,485+","$1,378+","$1,999+","$2,149","$1,560+","$1,960+"
92,Avril Cambridge Village,https://www.rentcafe.com/apartments/nc/denver/avril-cambridge-village/default.aspx,"1332 Holly Rush Lane,",Denver,NC,5.00,28037,"$1,400+","$1,540","$2,100+","$2,149","$1,560+","$1,960+"
93,Park Forest,https://www.rentcafe.com/apartments/nc/greensboro/park-forest0/default.aspx,"3214 Brassfield Rd.,",Greensboro,NC,5.00,27410,"$1,019+","$1,352+","$2,100+","$2,149","$1,560+","$1,960+"
94,Retreat At McAlpine Creek,https://www.rentcafe.com/apartments/nc/charlotte/retreat-at-mcalpine-creek/default.aspx,"6800 Fishers Farm Lane,",Charlotte,NC,5.00,28277,"$1,260+","$1,496+","$1,857+","$2,149","$1,560+","$1,960+"
95,Bristol Park,https://www.rentcafe.com/apartments/nc/fayetteville/bristol-park0/default.aspx,"1141 Glen Iris Drive,",Fayetteville,NC,5.00,28314,"$1,260+","$1,300",Ask for pricing,"$2,149","$1,560+","$1,960+"
96,Enclave At North Point Apartment Homes,https://www.rentcafe.com/apartments/nc/winston-salem/enclave-at-north-point-apartment-homes/default.aspx,"4260 Brownsboro Rd,",Winston-Salem,NC,5.00,27106,$855+,$905+,"$1,170+","$2,149","$1,560+","$1,960+"
97,Hawthorne At Main,https://www.rentcafe.com/apartments/nc/kernersville/hawthorne-at-main/default.aspx,"100 Madison Place Circle,",Kernersville,NC,5.00,27284,"$1,359+","$1,465+","$1,564","$2,149","$1,560+","$1,960+"
98,Clairmont At Farmgate,https://www.rentcafe.com/apartments/nc/raleigh/clairmont-at-farmgate/default.aspx,"6301 Daybrook Circle,",Raleigh,NC,5.00,27606,"$1,245+","$1,495+","$1,750+","$2,149","$1,560+","$1,960+"
99,Bell Chapel Hill,https://www.rentcafe.com/apartments/nc/chapel-hill/bell-chapel-hill/default.aspx,"1300 Fordham Blvd,",Chapel Hill,NC,5.00,27514,"$2,185+","$2,765+","$1,750+","$2,149","$1,725+","$1,960+"
