,restaurant_name,restaurant_url,restaurant_tag,restaurant_neighborhood,restaurant_address,ratings,review_number,price
199,Saku Yakitori & Sushi Bar,https://www.yelp.com/biz/saku-yakitori-and-sushi-bar-charlotte?sort_by=date_desc,"Sushi Bars,",,"123 E 5th St,Ste 100",4,26,
200,Poboy's Low Country Seafood Market,https://www.yelp.com/biz/poboys-low-country-seafood-market-charlotte?sort_by=date_desc,"Cajun/Creole,Seafood Markets,Sandwiches,",,,4.5,263,$$ 
201,Craft City,https://www.yelp.com/biz/craft-city-charlotte-2?sort_by=date_desc,"Cocktail Bars,Latin American,",,"555 S McDowell St,Charlotte, NC 28204",4,11,Unclaimed 
202,Halal Street Food,https://www.yelp.com/biz/halal-street-food-charlotte?sort_by=date_desc,"Mediterranean,Halal,Middle Eastern,",,"4044 Connection Point Blvd,Ste B",4,38,Unclaimed 
203,Saku Yakitori & Sushi Bar,https://www.yelp.com/biz/saku-yakitori-and-sushi-bar-charlotte?sort_by=date_desc,"Sushi Bars,",,"123 E 5th St,Ste 100",4,26,
204,Poboy's Low Country Seafood Market,https://www.yelp.com/biz/poboys-low-country-seafood-market-charlotte?sort_by=date_desc,"Cajun/Creole,Seafood Markets,Sandwiches,",,,4.5,263,$$ 
205,Flower Child,https://www.yelp.com/biz/flower-child-charlotte-charlotte-2?sort_by=date_desc,"Salad,American (New),Wraps,",,"1537 Camden Rd,Charlotte, NC 28203",4.5,318,$$ 
206,Letty's,https://www.yelp.com/biz/lettys-charlotte?sort_by=date_desc,"American (New),Sandwiches,",,"2121 Shamrock Dr,Charlotte, NC 28205",4.5,115,$$ 
207,"Snooze, an A.M. Eatery",https://www.yelp.com/biz/snooze-an-a-m-eatery-charlotte-5?sort_by=date_desc,"American (Traditional),Breakfast & Brunch,Cocktail Bars,",,"4425 Sharon Rd,Charlotte, NC 28211",3.5,43,$$ 
208,Foxcroft Wine Co - Dilworth,https://www.yelp.com/biz/foxcroft-wine-co-dilworth-charlotte?sort_by=date_desc,"Wine Bars,American (New),Desserts,",,"1235 East Blvd,Ste I",4.5,142,$$ 
209,Beaudevin,https://www.yelp.com/biz/beaudevin-charlotte?sort_by=date_desc,"Tapas/Small Plates,Wine Bars,Sandwiches,",,"5501 R C Josh Birmingham Pkwy,Charlotte-Douglas International Airport",3.5,323,Unclaimed 
