,name,link,address,city,state,ratings,zipcode,1 BED,Studio,2 BEDS,3 BEDS,2+ BEDS,3+ BEDS
81,Waters Edge Apartment Homes,https://www.rentcafe.com/apartments/nc/concord/waters-edge-apartment-homes-nc/default.aspx,"100 Waterview Dr,",Concord,NC,4.50,28027,"$1,195+","$1,045+","$1,629+","$1,746+","$1,350+","$2,400"
82,Arbor Glen,https://www.rentcafe.com/apartments/nc/eden/arbor-glen2/default.aspx,"643 S Pierce St,",Eden,NC,4.50,27288,"$1,195+","$1,045+","$1,629+","$1,746+","$1,350+","$2,400"
83,Elevate Haw River*,https://www.rentcafe.com/apartments/nc/graham/elevate-haw-river0/default.aspx,"2310 Vantage Point,",Graham,NC,4.50,27253,"$1,270+","$1,045+","$1,450+","$2,175+","$1,350+","$2,400"
84,Village At Cliffdale Apartment Homes,https://www.rentcafe.com/apartments/nc/fayetteville/village-at-cliffdale-apartment-homes/default.aspx,"567 Cutchen Lane,",Fayetteville,NC,4.50,28314,$955+,"$1,045+","$1,050+","$1,425+","$1,350+","$2,400"
85,Ellington Farms,https://www.rentcafe.com/apartments/nc/wilmington/ellington-farms-1/default.aspx,"505 Vorils Lane,",Wilmington,NC,4.50,28411,$955+,"$1,045+","$1,050+","$1,425+","$1,350+","$2,400"
86,Stonehenge,https://www.rentcafe.com/apartments/nc/raleigh/stonehenge-4/default.aspx,"7303 Hihenge Ct,",Raleigh,NC,4.50,27615,"$1,240+","$1,045+","$1,475+","$1,940+","$1,350+","$2,400"
87,LaVie SouthPark,https://www.rentcafe.com/apartments/nc/charlotte/lavie-southpark0/default.aspx,"5725 Carnegie Blvd,",Charlotte,NC,4.50,28209,"$1,518+",Ask for pricing,"$2,125+","$1,940+","$1,350+","$2,400"
88,Hawthorne At The Meadows,https://www.rentcafe.com/apartments/nc/kernersville/hawthorne-at-the-meadows/default.aspx,"1341 Ellis Forest Road,",Kernersville,NC,4.50,27284,"$1,183+",Ask for pricing,"$1,253+","$1,689","$1,350+","$2,400"
89,White Oak Grove Apartments,https://www.rentcafe.com/apartments/nc/asheville/white-oak-grove-apartment/default.aspx,"1 Hazel Knoll Circle, Suite 004,",Asheville,NC,4.50,28806,"$1,183+",Ask for pricing,"$1,253+","$1,689","$1,350+","$2,400"
90,Bexley At Preston,https://www.rentcafe.com/apartments/nc/morrisville/bexley-at-preston/default.aspx,"1300 Sterling Green Drive,",Morrisville,NC,4.50,27560,"$1,420+",Ask for pricing,"$1,689+","$1,964+","$1,350+","$2,400"
91,Link Apartments® Brookstown,https://www.rentcafe.com/apartments/nc/winston-salem/link-apartments-brookstown/default.aspx,"150 Peters Creek Parkway,",Winston Salem,NC,4.50,27101,"$1,395+",Ask for pricing,Ask for pricing,"$1,964+","$1,350+","$2,400"
92,The Tribute,https://www.rentcafe.com/apartments/nc/raleigh/the-tribute-1/default.aspx,"1300 Tribute Center Dr,",Raleigh,NC,4.50,27612,"$1,410+","$1,280+",Ask for pricing,"$1,964+","$1,645+","$2,400"
93,Reserve At Providence,https://www.rentcafe.com/apartments/nc/charlotte/reserve-at-providence/default.aspx,"6060 Reserve Drive,",Charlotte,NC,4.50,28270,"$1,149+","$1,280+","$1,385+","$1,964+","$1,645+","$1,775+"
94,Plant 64,https://www.rentcafe.com/apartments/nc/winston-salem/plant-64/default.aspx,"545 Power Plant Circle,",Winston-Salem,NC,4.50,27101,"$1,249+","$1,280+","$1,549+",Ask for pricing,"$1,645+","$1,775+"
95,Six Forks Station Apartments,https://www.rentcafe.com/apartments/nc/raleigh/six-forks-station2/default.aspx,"8501 New Brunswick Ln,",Raleigh,NC,4.50,27615,"$1,421+","$1,280+","$1,624+","$1,589+","$1,645+","$1,775+"
96,Parkstone At Knightdale,https://www.rentcafe.com/apartments/nc/knightdale/parkstone-at-knightdale/default.aspx,"1001 Park Commons Drive,",Knightdale,NC,4.50,27545,"$1,746+","$1,280+","$1,849+","$1,956+","$1,645+","$1,775+"
97,Sedgefield Apartments,https://www.rentcafe.com/apartments/nc/winston-salem/sedgefield-apartments1/default.aspx,"4755 Country Club Road,",Winston Salem,NC,4.50,27104,$965,"$1,280+","$1,145","$1,956+","$1,645+","$1,775+"
98,The Falls,https://www.rentcafe.com/apartments/nc/raleigh/the-falls-0/default.aspx,"4518 Tournament Drive,",Raleigh,NC,4.50,27612,"$1,138+","$1,154+","$1,289+","$1,956+","$1,645+","$1,775+"
99,Northpoint Apartments,https://www.rentcafe.com/apartments/nc/spring-lake/northpoint-apartments0/default.aspx,"16B Wedgewood Dr.,",Spring Lake,NC,4.50,28390,"$1,138+","$1,154+",$850+,"$1,956+","$1,645+","$1,775+"
